ranking,昵称,抖音号,number of followers,gender,profession of the broadcaster,profession,Number of viewers,人数峰值,sales volume,销售额/万,value of sales,Word of mouth,Live broadcast times,Total products,Total duration of live broadcast,,length of time
,,,651592.2129,,clothe collocation,,,,,,12.65548552,4.264599659,,,,,9.72210311
,,,10981301.06,,Comedy Blogger,,,,,,14.476875,4.73125,,,,,4.693967014
,,,1588613.5,,health,,,,,,6.691,4.674,,,,,7.697569444
,,,2593130.12,,education,,,,,,11.716,4.7856,,,,,8.701444444
,,,2419733.759,,Technology,,,,,,29.71931034,4.485862069,,,,,11.87152778
,,,1580902.75,,travel,,,,,,7.4075,4.77625,,,,,6.670150463
,,,3110282.517,,food,,,,,,10.77983333,4.827333333,,,,,11.03988561
,,,1758160.031,,make up,,,,,,18.88061538,4.428307692,,,,,10.81925214
,,,9594446.976,,celebrity,,,,,,31.9852381,4.645,,,,,2.427810847
,,,1787204.628,,daily life,,,,,,12.19710145,4.735024155,,,,,7.594921218
,,,3844589,,physical education,,,,,,10.27555556,4.748888889,,,,,5.823765432
,,,152660.6667,,Literature and Art,,,,,,13.92833333,4.883333333,,,,,12.92615741
,,,1407402.734,,recommendation,,,,,,15.09322581,4.379919355,,,,,9.830214494
,,,416930.8876,,Jewelry,,,,,,15.5637751,4.686746988,,,,,9.749584588
,,,2610951.526,,Comedy Internet Celebrity,,,,,,15.52298246,4.78754386,,,,,5.724318754